danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.488,0.0527,5,-27.331,1,0.0478,0.971,0.911,0.0882,0.193,49.689,audio_features,4ol2UyMTiklHVujAWg02nE,spotify:track:4ol2UyMTiklHVujAWg02nE,https://api.spotify.com/v1/tracks/4ol2UyMTiklHVujAWg02nE,https://api.spotify.com/v1/audio-analysis/4ol2UyMTiklHVujAWg02nE,306227,4
0.726,0.33,9,-9.935,1,0.214,0.607,0.125,0.724,0.376,94.755,audio_features,6FTBZdL2sXXUSBXMwrQTut,spotify:track:6FTBZdL2sXXUSBXMwrQTut,https://api.spotify.com/v1/tracks/6FTBZdL2sXXUSBXMwrQTut,https://api.spotify.com/v1/audio-analysis/6FTBZdL2sXXUSBXMwrQTut,373600,4
0.386,0.0283,6,-20.862,1,0.0399,0.975,2.1e-05,0.124,0.239,74.955,audio_features,5Jo0cCx3upXviXMXWes8XA,spotify:track:5Jo0cCx3upXviXMXWes8XA,https://api.spotify.com/v1/tracks/5Jo0cCx3upXviXMXWes8XA,https://api.spotify.com/v1/audio-analysis/5Jo0cCx3upXviXMXWes8XA,197800,1
0.47,0.0296,7,-25.411,0,0.0352,0.991,0.948,0.0976,0.184,89.408,audio_features,1yegDiVa8d94H07ga1SLOt,spotify:track:1yegDiVa8d94H07ga1SLOt,https://api.spotify.com/v1/tracks/1yegDiVa8d94H07ga1SLOt,https://api.spotify.com/v1/audio-analysis/1yegDiVa8d94H07ga1SLOt,226200,4
0.403,0.136,0,-13.139,1,0.0342,0.94,0.000236,0.154,0.058,118.432,audio_features,3bXDESyVP8MWkkHHtPjBbT,spotify:track:3bXDESyVP8MWkkHHtPjBbT,https://api.spotify.com/v1/tracks/3bXDESyVP8MWkkHHtPjBbT,https://api.spotify.com/v1/audio-analysis/3bXDESyVP8MWkkHHtPjBbT,290806,4
0.432,0.584,11,-9.675,0,0.0284,0.0723,0.429,0.129,0.449,89.745,audio_features,6tV34f3JK3le2YIQMo9ECt,spotify:track:6tV34f3JK3le2YIQMo9ECt,https://api.spotify.com/v1/tracks/6tV34f3JK3le2YIQMo9ECt,https://api.spotify.com/v1/audio-analysis/6tV34f3JK3le2YIQMo9ECt,228372,4
0.372,0.0503,7,-19.11,1,0.0316,0.932,0.000991,0.72,0.224,66.829,audio_features,62MGCrycYzo03bGPn9FSiL,spotify:track:62MGCrycYzo03bGPn9FSiL,https://api.spotify.com/v1/tracks/62MGCrycYzo03bGPn9FSiL,https://api.spotify.com/v1/audio-analysis/62MGCrycYzo03bGPn9FSiL,216093,4
0.423,0.179,0,-14.852,0,0.0413,0.916,1.61e-05,0.12,0.179,78.738,audio_features,2R3g9k14OAcUzZYwo90Tx6,spotify:track:2R3g9k14OAcUzZYwo90Tx6,https://api.spotify.com/v1/tracks/2R3g9k14OAcUzZYwo90Tx6,https://api.spotify.com/v1/audio-analysis/2R3g9k14OAcUzZYwo90Tx6,199920,4
0.33,0.0159,4,-21.167,0,0.0409,0.988,5.38e-06,0.109,0.22,71.022,audio_features,726OIMOZ6uDlvGsdUbbazS,spotify:track:726OIMOZ6uDlvGsdUbbazS,https://api.spotify.com/v1/tracks/726OIMOZ6uDlvGsdUbbazS,https://api.spotify.com/v1/audio-analysis/726OIMOZ6uDlvGsdUbbazS,168347,4
0.267,0.252,7,-11.687,1,0.0351,0.8,4.43e-05,0.089,0.13,37.114,audio_features,3gIBSlXYIN1mru35l4LWPB,spotify:track:3gIBSlXYIN1mru35l4LWPB,https://api.spotify.com/v1/tracks/3gIBSlXYIN1mru35l4LWPB,https://api.spotify.com/v1/audio-analysis/3gIBSlXYIN1mru35l4LWPB,206533,4
0.337,0.0274,7,-22.64,1,0.0449,0.902,0.00115,0.109,0.616,177.741,audio_features,7DVVuEwuBOx7fcUvYwqngv,spotify:track:7DVVuEwuBOx7fcUvYwqngv,https://api.spotify.com/v1/tracks/7DVVuEwuBOx7fcUvYwqngv,https://api.spotify.com/v1/audio-analysis/7DVVuEwuBOx7fcUvYwqngv,185293,4
0.341,0.0223,3,-23.744,1,0.0342,0.989,0.000306,0.107,0.148,83.522,audio_features,4gzEXvOyOldVrimfppjTAY,spotify:track:4gzEXvOyOldVrimfppjTAY,https://api.spotify.com/v1/tracks/4gzEXvOyOldVrimfppjTAY,https://api.spotify.com/v1/audio-analysis/4gzEXvOyOldVrimfppjTAY,165000,3
0.632,0.276,4,-13.697,0,0.0594,0.632,0.293,0.157,0.237,129.693,audio_features,6CAYXIhkBARYmy7kVNDIOi,spotify:track:6CAYXIhkBARYmy7kVNDIOi,https://api.spotify.com/v1/tracks/6CAYXIhkBARYmy7kVNDIOi,https://api.spotify.com/v1/audio-analysis/6CAYXIhkBARYmy7kVNDIOi,470547,4
0.592,0.416,1,-9.794,1,0.0246,0.882,0.000586,0.112,0.417,96.002,audio_features,41yIvlFgvGwxq8qTqAR7eG,spotify:track:41yIvlFgvGwxq8qTqAR7eG,https://api.spotify.com/v1/tracks/41yIvlFgvGwxq8qTqAR7eG,https://api.spotify.com/v1/audio-analysis/41yIvlFgvGwxq8qTqAR7eG,210080,4
0.473,0.421,3,-10.234,0,0.0558,0.757,0.0,0.145,0.682,161.584,audio_features,3p6keDkfLYYpuAdvv1Ktsh,spotify:track:3p6keDkfLYYpuAdvv1Ktsh,https://api.spotify.com/v1/tracks/3p6keDkfLYYpuAdvv1Ktsh,https://api.spotify.com/v1/audio-analysis/3p6keDkfLYYpuAdvv1Ktsh,144373,3
0.64,0.324,3,-12.576,1,0.0291,0.811,0.0013,0.108,0.363,135.803,audio_features,7eODmTZh5wkd032bW1xK4l,spotify:track:7eODmTZh5wkd032bW1xK4l,https://api.spotify.com/v1/tracks/7eODmTZh5wkd032bW1xK4l,https://api.spotify.com/v1/audio-analysis/7eODmTZh5wkd032bW1xK4l,215920,4
0.409,0.264,4,-16.273,1,0.0363,0.665,0.00016,0.102,0.355,137.16,audio_features,3wAX3qn53iQUFE84hpfeen,spotify:track:3wAX3qn53iQUFE84hpfeen,https://api.spotify.com/v1/tracks/3wAX3qn53iQUFE84hpfeen,https://api.spotify.com/v1/audio-analysis/3wAX3qn53iQUFE84hpfeen,256800,4
0.471,0.021,10,-24.385,1,0.0366,0.931,1.19e-06,0.103,0.356,107.796,audio_features,3zpj9dvJABiyMrmLCPw6i8,spotify:track:3zpj9dvJABiyMrmLCPw6i8,https://api.spotify.com/v1/tracks/3zpj9dvJABiyMrmLCPw6i8,https://api.spotify.com/v1/audio-analysis/3zpj9dvJABiyMrmLCPw6i8,164573,3
0.361,0.0193,1,-31.473,1,0.0447,0.986,0.871,0.124,0.126,180.099,audio_features,7bwj1PDvfKqa0AvAhK9bwN,spotify:track:7bwj1PDvfKqa0AvAhK9bwN,https://api.spotify.com/v1/tracks/7bwj1PDvfKqa0AvAhK9bwN,https://api.spotify.com/v1/audio-analysis/7bwj1PDvfKqa0AvAhK9bwN,162746,4
0.745,0.219,5,-11.216,1,0.0276,0.851,1.8e-05,0.0678,0.635,88.609,audio_features,1zNXF2svmdlNxfS5XeNUgr,spotify:track:1zNXF2svmdlNxfS5XeNUgr,https://api.spotify.com/v1/tracks/1zNXF2svmdlNxfS5XeNUgr,https://api.spotify.com/v1/audio-analysis/1zNXF2svmdlNxfS5XeNUgr,186251,4
0.508,0.0264,0,-22.1,1,0.0535,0.987,1.58e-05,0.114,0.422,150.471,audio_features,5oOoQn1bhg6nbuvd54URPF,spotify:track:5oOoQn1bhg6nbuvd54URPF,https://api.spotify.com/v1/tracks/5oOoQn1bhg6nbuvd54URPF,https://api.spotify.com/v1/audio-analysis/5oOoQn1bhg6nbuvd54URPF,170733,4
0.443,0.419,7,-7.975,1,0.0321,0.633,0.00183,0.404,0.0719,132.204,audio_features,3MwHZDGwAR8RjZZBriBqmx,spotify:track:3MwHZDGwAR8RjZZBriBqmx,https://api.spotify.com/v1/tracks/3MwHZDGwAR8RjZZBriBqmx,https://api.spotify.com/v1/audio-analysis/3MwHZDGwAR8RjZZBriBqmx,256520,4
0.538,0.257,0,-14.461,0,0.0424,0.869,0.892,0.122,0.312,115.769,audio_features,5Yp4bbOz8728eFLrxjwZxW,spotify:track:5Yp4bbOz8728eFLrxjwZxW,https://api.spotify.com/v1/tracks/5Yp4bbOz8728eFLrxjwZxW,https://api.spotify.com/v1/audio-analysis/5Yp4bbOz8728eFLrxjwZxW,527040,4
0.412,0.0554,0,-20.244,1,0.0412,0.984,0.782,0.135,0.111,74.912,audio_features,448TDbd8RNN1tn8zGPNutD,spotify:track:448TDbd8RNN1tn8zGPNutD,https://api.spotify.com/v1/tracks/448TDbd8RNN1tn8zGPNutD,https://api.spotify.com/v1/audio-analysis/448TDbd8RNN1tn8zGPNutD,396933,4
0.732,0.408,11,-8.475,1,0.036,0.747,0.000229,0.069,0.663,87.015,audio_features,06lw2dBFqdXhAErz7Xz9Zs,spotify:track:06lw2dBFqdXhAErz7Xz9Zs,https://api.spotify.com/v1/tracks/06lw2dBFqdXhAErz7Xz9Zs,https://api.spotify.com/v1/audio-analysis/06lw2dBFqdXhAErz7Xz9Zs,299440,4
0.499,0.0539,11,-21.882,1,0.0396,0.972,0.0287,0.0839,0.324,72.981,audio_features,1XCBWtTJZuHbwa6GLUutjo,spotify:track:1XCBWtTJZuHbwa6GLUutjo,https://api.spotify.com/v1/tracks/1XCBWtTJZuHbwa6GLUutjo,https://api.spotify.com/v1/audio-analysis/1XCBWtTJZuHbwa6GLUutjo,280840,4
0.452,0.247,9,-13.24,1,0.033,0.972,0.132,0.0577,0.216,102.412,audio_features,1o82DwNisONAd2mu1RcGE6,spotify:track:1o82DwNisONAd2mu1RcGE6,https://api.spotify.com/v1/tracks/1o82DwNisONAd2mu1RcGE6,https://api.spotify.com/v1/audio-analysis/1o82DwNisONAd2mu1RcGE6,339891,4
0.427,0.114,2,-22.546,0,0.0509,0.843,0.863,0.0966,0.114,60.484,audio_features,1J9iVCaEriyoMXpj2XszhU,spotify:track:1J9iVCaEriyoMXpj2XszhU,https://api.spotify.com/v1/tracks/1J9iVCaEriyoMXpj2XszhU,https://api.spotify.com/v1/audio-analysis/1J9iVCaEriyoMXpj2XszhU,282320,4
0.299,0.329,3,-10.096,1,0.0279,0.756,0.0105,0.0559,0.392,132.282,audio_features,3mlMpmY8oZIBFc39D9zLbh,spotify:track:3mlMpmY8oZIBFc39D9zLbh,https://api.spotify.com/v1/tracks/3mlMpmY8oZIBFc39D9zLbh,https://api.spotify.com/v1/audio-analysis/3mlMpmY8oZIBFc39D9zLbh,218187,4
0.425,0.197,9,-16.513,1,0.0307,0.468,0.622,0.0662,0.235,116.468,audio_features,4C7WQtCroS5Qyc2IQiVn15,spotify:track:4C7WQtCroS5Qyc2IQiVn15,https://api.spotify.com/v1/tracks/4C7WQtCroS5Qyc2IQiVn15,https://api.spotify.com/v1/audio-analysis/4C7WQtCroS5Qyc2IQiVn15,383107,4
0.292,0.324,3,-11.996,1,0.0346,0.797,0.000473,0.12,0.384,176.631,audio_features,5RgFlk1fcClZd0Y4SGYhqH,spotify:track:5RgFlk1fcClZd0Y4SGYhqH,https://api.spotify.com/v1/tracks/5RgFlk1fcClZd0Y4SGYhqH,https://api.spotify.com/v1/audio-analysis/5RgFlk1fcClZd0Y4SGYhqH,201373,3
0.511,0.34,9,-9.928,1,0.0299,0.821,0.00876,0.0763,0.269,75.328,audio_features,0bYDebBlQxsDR4hCgbbpOW,spotify:track:0bYDebBlQxsDR4hCgbbpOW,https://api.spotify.com/v1/tracks/0bYDebBlQxsDR4hCgbbpOW,https://api.spotify.com/v1/audio-analysis/0bYDebBlQxsDR4hCgbbpOW,163027,3
0.906,0.213,1,-13.936,0,0.0789,0.0174,0.0753,0.0986,0.485,135.309,audio_features,4Fs6KJzg4d0xrGZt7wrC0M,spotify:track:4Fs6KJzg4d0xrGZt7wrC0M,https://api.spotify.com/v1/tracks/4Fs6KJzg4d0xrGZt7wrC0M,https://api.spotify.com/v1/audio-analysis/4Fs6KJzg4d0xrGZt7wrC0M,190400,4
0.762,0.387,10,-8.643,0,0.0277,0.239,0.00756,0.13,0.273,109.959,audio_features,5Z1U0knfYnsfvZycgDeOiC,spotify:track:5Z1U0knfYnsfvZycgDeOiC,https://api.spotify.com/v1/tracks/5Z1U0knfYnsfvZycgDeOiC,https://api.spotify.com/v1/audio-analysis/5Z1U0knfYnsfvZycgDeOiC,239147,4
0.504,0.782,2,-9.269,1,0.0301,0.0653,1.3e-06,0.115,0.619,123.885,audio_features,2Rx10OuH1VsLgvJbfJAt9M,spotify:track:2Rx10OuH1VsLgvJbfJAt9M,https://api.spotify.com/v1/tracks/2Rx10OuH1VsLgvJbfJAt9M,https://api.spotify.com/v1/audio-analysis/2Rx10OuH1VsLgvJbfJAt9M,164706,4
0.485,0.319,5,-8.525,1,0.031,0.686,2.81e-05,0.117,0.195,142.119,audio_features,711WfDztCZpnmJg7Uvwod3,spotify:track:711WfDztCZpnmJg7Uvwod3,https://api.spotify.com/v1/tracks/711WfDztCZpnmJg7Uvwod3,https://api.spotify.com/v1/audio-analysis/711WfDztCZpnmJg7Uvwod3,314680,3
0.67,0.403,0,-10.623,1,0.031,0.753,0.0903,0.0858,0.622,129.984,audio_features,0NslHuacjxQYfUTOW3HCIV,spotify:track:0NslHuacjxQYfUTOW3HCIV,https://api.spotify.com/v1/tracks/0NslHuacjxQYfUTOW3HCIV,https://api.spotify.com/v1/audio-analysis/0NslHuacjxQYfUTOW3HCIV,230867,4
0.671,0.233,11,-18.003,0,0.0378,0.875,0.00016,0.12,0.486,108.065,audio_features,4dAN7KcWCWx5jV6dpwtfvN,spotify:track:4dAN7KcWCWx5jV6dpwtfvN,https://api.spotify.com/v1/tracks/4dAN7KcWCWx5jV6dpwtfvN,https://api.spotify.com/v1/audio-analysis/4dAN7KcWCWx5jV6dpwtfvN,133960,4
0.555,0.35,10,-10.955,0,0.0503,0.791,6.64e-06,0.11,0.404,77.772,audio_features,06rX4GEEjsVTSbRBWycs2U,spotify:track:06rX4GEEjsVTSbRBWycs2U,https://api.spotify.com/v1/tracks/06rX4GEEjsVTSbRBWycs2U,https://api.spotify.com/v1/audio-analysis/06rX4GEEjsVTSbRBWycs2U,209813,4
0.685,0.172,8,-14.979,1,0.0412,0.909,0.00154,0.286,0.563,133.902,audio_features,53TIOhzNpRpl8xKdscSQSv,spotify:track:53TIOhzNpRpl8xKdscSQSv,https://api.spotify.com/v1/tracks/53TIOhzNpRpl8xKdscSQSv,https://api.spotify.com/v1/audio-analysis/53TIOhzNpRpl8xKdscSQSv,353947,4
0.363,0.361,9,-14.398,1,0.0499,0.623,0.00119,0.154,0.612,187.711,audio_features,7nVQ8mo77KaUvhUQzh4vMy,spotify:track:7nVQ8mo77KaUvhUQzh4vMy,https://api.spotify.com/v1/tracks/7nVQ8mo77KaUvhUQzh4vMy,https://api.spotify.com/v1/audio-analysis/7nVQ8mo77KaUvhUQzh4vMy,152867,3
0.464,0.473,1,-10.086,1,0.129,0.866,0.0,0.109,0.604,75.801,audio_features,2kJwzbxV2ppxnQoYw4GLBZ,spotify:track:2kJwzbxV2ppxnQoYw4GLBZ,https://api.spotify.com/v1/tracks/2kJwzbxV2ppxnQoYw4GLBZ,https://api.spotify.com/v1/audio-analysis/2kJwzbxV2ppxnQoYw4GLBZ,208687,4
0.762,0.346,4,-12.959,0,0.0344,0.629,0.000126,0.0971,0.297,119.968,audio_features,5PbfvaBgQHwUI2NEilk9RN,spotify:track:5PbfvaBgQHwUI2NEilk9RN,https://api.spotify.com/v1/tracks/5PbfvaBgQHwUI2NEilk9RN,https://api.spotify.com/v1/audio-analysis/5PbfvaBgQHwUI2NEilk9RN,282507,4
0.621,0.403,9,-8.211,1,0.0359,0.581,0.0,0.114,0.634,145.523,audio_features,2XgGdD5d2MW4RNx8KnIjVh,spotify:track:2XgGdD5d2MW4RNx8KnIjVh,https://api.spotify.com/v1/tracks/2XgGdD5d2MW4RNx8KnIjVh,https://api.spotify.com/v1/audio-analysis/2XgGdD5d2MW4RNx8KnIjVh,232133,4
0.659,0.396,2,-10.917,1,0.037,0.744,0.00125,0.13,0.381,94.087,audio_features,6s6nGROlSghPjWTUGddd56,spotify:track:6s6nGROlSghPjWTUGddd56,https://api.spotify.com/v1/tracks/6s6nGROlSghPjWTUGddd56,https://api.spotify.com/v1/audio-analysis/6s6nGROlSghPjWTUGddd56,337893,4
0.479,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.243,74.897,audio_features,0JmiBCpWc1IAc0et7Xm7FL,spotify:track:0JmiBCpWc1IAc0et7Xm7FL,https://api.spotify.com/v1/tracks/0JmiBCpWc1IAc0et7Xm7FL,https://api.spotify.com/v1/audio-analysis/0JmiBCpWc1IAc0et7Xm7FL,252733,4
0.642,0.348,9,-10.044,1,0.0315,0.841,0.000341,0.105,0.392,122.555,audio_features,1MsYN2LmlINM37KGbfs91P,spotify:track:1MsYN2LmlINM37KGbfs91P,https://api.spotify.com/v1/tracks/1MsYN2LmlINM37KGbfs91P,https://api.spotify.com/v1/audio-analysis/1MsYN2LmlINM37KGbfs91P,284600,4
0.567,0.434,7,-12.755,0,0.0349,0.86,0.257,0.115,0.254,82.459,audio_features,7gDNQLV9cr8449LFrQbk5J,spotify:track:7gDNQLV9cr8449LFrQbk5J,https://api.spotify.com/v1/tracks/7gDNQLV9cr8449LFrQbk5J,https://api.spotify.com/v1/audio-analysis/7gDNQLV9cr8449LFrQbk5J,272347,4
